Time,result,bal_pre,leak_val,leak_val_1
Thu Jun  1 11:21:40 2023, PASS_RES,100032.002,-0.47,0
Thu Jun  1 11:21:54 2023, PASS_RES,100033.459,3.578,0
Thu Jun  1 11:22:07 2023, PASS_RES,100032.233,5.868,0
Thu Jun  1 11:22:21 2023, PASS_RES,100031.105,1.382,0
Thu Jun  1 11:22:35 2023, PASS_RES,100032.772,4.178,0
Thu Jun  1 11:22:49 2023, PASS_RES,100034.307,3.26,0
Thu Jun  1 11:23:03 2023, PASS_RES,100032.968,2.615,0
Thu Jun  1 11:23:17 2023, PASS_RES,100029.439,4.649,0
Thu Jun  1 11:23:31 2023, PASS_RES,100032.427,1.279,0
Thu Jun  1 11:23:45 2023, PASS_RES,100034.2,3.047,0
Thu Jun  1 11:23:58 2023, PASS_RES,100027.563,6.515,0
Thu Jun  1 11:24:12 2023, PASS_RES,100028.369,4.685,0
Thu Jun  1 11:24:26 2023, PASS_RES,100031.606,6.745,0
Thu Jun  1 11:24:40 2023, PASS_RES,100028.999,4.849,0
Thu Jun  1 11:24:54 2023, PASS_RES,100027.532,5.516,0
Thu Jun  1 11:25:08 2023, PASS_RES,100026.099,3.15,0
Thu Jun  1 11:25:22 2023, PASS_RES,100024.65,-0.648,0
Thu Jun  1 11:25:35 2023, PASS_RES,100028.742,4.688,0
Thu Jun  1 11:25:49 2023, PASS_RES,100024.275,3.641,0
Thu Jun  1 11:26:03 2023, PASS_RES,100022.574,1.636,0
Thu Jun  1 11:26:17 2023, PASS_RES,100025.862,0.787,0
Thu Jun  1 11:26:31 2023, PASS_RES,100028.318,6.311,0
Thu Jun  1 11:26:45 2023, PASS_RES,100022.985,3.953,0
Thu Jun  1 11:26:59 2023, PASS_RES,100021.923,5.984,0
Thu Jun  1 11:27:13 2023, PASS_RES,100020.049,6.483,0
Thu Jun  1 11:27:26 2023, PASS_RES,100022.017,4.844,0
Thu Jun  1 11:27:40 2023, PASS_RES,100022.738,4.335,0
Thu Jun  1 11:27:54 2023, PASS_RES,100023.207,4.439,0
Thu Jun  1 11:28:08 2023, PASS_RES,100021.972,5.626,0
Thu Jun  1 11:28:22 2023, PASS_RES,100021.937,9.98,0
Thu Jun  1 11:28:36 2023, PASS_RES,100023.467,7.61,0
Thu Jun  1 11:28:50 2023, PASS_RES,100019.865,2.81,0
Thu Jun  1 11:29:04 2023, PASS_RES,100020.877,5.096,0
Thu Jun  1 11:29:17 2023, PASS_RES,100023.772,9.112,0
Thu Jun  1 11:29:31 2023, PASS_RES,100020.747,3.265,0
Thu Jun  1 11:29:45 2023, PASS_RES,100023.302,5.271,0
Thu Jun  1 11:29:59 2023, PASS_RES,100022.311,5.348,0
Thu Jun  1 11:30:13 2023, PASS_RES,100025.154,8.887,0
Thu Jun  1 11:30:27 2023, PASS_RES,100024.069,5.196,0
Thu Jun  1 11:30:41 2023, PASS_RES,100022.594,3.879,0
Thu Jun  1 11:30:55 2023, PASS_RES,100022.32,4.498,0
Thu Jun  1 11:31:08 2023, PASS_RES,100029.015,7.412,0
Thu Jun  1 11:31:22 2023, PASS_RES,100017.705,1.504,0
Thu Jun  1 11:31:36 2023, PASS_RES,100021.008,1.799,0
Thu Jun  1 11:31:50 2023, PASS_RES,100021.864,4.362,0
Thu Jun  1 11:32:04 2023, PASS_RES,100025.795,6.425,0
Thu Jun  1 11:32:18 2023, PASS_RES,100019.692,3.916,0
Thu Jun  1 11:32:32 2023, PASS_RES,100017.263,4.047,0
Thu Jun  1 11:32:46 2023, PASS_RES,100020.025,6.412,0
Thu Jun  1 11:32:59 2023, PASS_RES,100021.263,1.96,0
Thu Jun  1 11:33:13 2023, PASS_RES,100022.684,8.459,0
Thu Jun  1 11:33:27 2023, PASS_RES,100024.062,4.025,0
Thu Jun  1 11:33:41 2023, PASS_RES,100023.353,8.63,0
Thu Jun  1 11:33:55 2023, PASS_RES,100017.569,3.827,0
Thu Jun  1 11:34:09 2023, PASS_RES,100016.617,4.922,0
Thu Jun  1 11:34:23 2023, PASS_RES,100015.01,5.385,0
Thu Jun  1 11:34:37 2023, PASS_RES,100014.123,2.795,0
Thu Jun  1 11:34:50 2023, PASS_RES,100017.491,7.836,0
Thu Jun  1 11:35:04 2023, PASS_RES,100018.49,7.745,0
Thu Jun  1 11:35:18 2023, PASS_RES,100018.421,2.234,0
Thu Jun  1 11:35:32 2023, PASS_RES,100016.26,1.227,0
Thu Jun  1 11:35:46 2023, PASS_RES,100023.663,6.677,0
Thu Jun  1 11:36:00 2023, PASS_RES,100018.403,3.178,0
Thu Jun  1 11:36:14 2023, PASS_RES,100023.683,5.461,0
Thu Jun  1 11:36:28 2023, PASS_RES,100024.762,6.139,0
Thu Jun  1 11:36:41 2023, PASS_RES,100022.849,4.286,0
Thu Jun  1 11:36:55 2023, PASS_RES,100025.045,5.329,0
Thu Jun  1 11:37:09 2023, PASS_RES,100018.826,1.733,0
Thu Jun  1 11:37:23 2023, PASS_RES,100020.439,5.957,0
Thu Jun  1 11:37:37 2023, PASS_RES,100021.966,6.481,0
Thu Jun  1 11:37:51 2023, PASS_RES,100020.971,7.713,0
Thu Jun  1 11:38:05 2023, PASS_RES,100021.761,3.99,0
Thu Jun  1 11:38:18 2023, PASS_RES,100020.874,5.777,0
Thu Jun  1 11:38:32 2023, PASS_RES,100020.342,3.993,0
Thu Jun  1 11:38:46 2023, PASS_RES,100016.491,5.455,0
Thu Jun  1 11:39:00 2023, PASS_RES,100015.992,1.65,0
Thu Jun  1 11:39:14 2023, PASS_RES,100012.612,5.425,0
Thu Jun  1 11:39:28 2023, PASS_RES,100010.247,-1.72,0
Thu Jun  1 11:39:42 2023, PASS_RES,100007.752,0.843,0
Thu Jun  1 11:39:55 2023, PASS_RES,100013.737,2.966,0
Thu Jun  1 11:40:09 2023, PASS_RES,100011.076,4.251,0
Thu Jun  1 11:40:23 2023, PASS_RES,100017.568,6.327,0
Thu Jun  1 11:40:37 2023, PASS_RES,100014.391,2.626,0
Thu Jun  1 11:40:51 2023, PASS_RES,100014.359,6.494,0
Thu Jun  1 11:41:05 2023, PASS_RES,100007.875,1.348,0
Thu Jun  1 11:41:19 2023, PASS_RES,100009.982,4.891,0
Thu Jun  1 11:41:33 2023, PASS_RES,100010.143,5.17,0
Thu Jun  1 11:41:46 2023, PASS_RES,100010.081,5.757,0
Thu Jun  1 11:42:00 2023, PASS_RES,100006.923,5.534,0
Thu Jun  1 11:42:14 2023, PASS_RES,100007.637,0.782,0
Thu Jun  1 11:42:28 2023, PASS_RES,100008.308,3.035,0
Thu Jun  1 11:42:42 2023, PASS_RES,100007.141,3.496,0
Thu Jun  1 11:42:56 2023, PASS_RES,100004.765,4.168,0
Thu Jun  1 11:43:10 2023, PASS_RES,100003.201,5.826,0
Thu Jun  1 11:43:24 2023, PASS_RES,100002.8,4.947,0
Thu Jun  1 11:43:37 2023, PASS_RES,100002.631,6.105,0
Thu Jun  1 11:43:51 2023, PASS_RES,100002.728,6.962,0
Thu Jun  1 11:44:05 2023, PASS_RES,100000.255,8.378,0
Thu Jun  1 11:44:19 2023, PASS_RES,99995.219,4.123,0
Thu Jun  1 11:44:33 2023, PASS_RES,99996.992,4.944,0
Thu Jun  1 11:44:47 2023, PASS_RES,99996.175,4.299,0
Thu Jun  1 11:45:01 2023, PASS_RES,99996.244,3.201,0
Thu Jun  1 11:45:15 2023, PASS_RES,99998.793,10.213,0
Thu Jun  1 11:45:28 2023, PASS_RES,99997.765,6.033,0
Thu Jun  1 11:45:42 2023, PASS_RES,99995.436,4.846,0
Thu Jun  1 11:45:56 2023, PASS_RES,99993.463,3.204,0
Thu Jun  1 11:46:10 2023, PASS_RES,99989.047,5.777,0
Thu Jun  1 11:46:24 2023, PASS_RES,99990.68,2.613,0
Thu Jun  1 11:46:38 2023, PASS_RES,99990.368,1.63,0
Thu Jun  1 11:46:52 2023, PASS_RES,99987.628,4.695,0
Thu Jun  1 11:47:05 2023, PASS_RES,99987.46,3.518,0
Thu Jun  1 11:47:19 2023, PASS_RES,99985.544,3.583,0
Thu Jun  1 11:47:33 2023, PASS_RES,99985.281,2.961,0
Thu Jun  1 11:47:47 2023, PASS_RES,99979.363,0.611,0
Thu Jun  1 11:48:01 2023, PASS_RES,99983.364,4.941,0
Thu Jun  1 11:48:15 2023, PASS_RES,99977.994,2.483,0
Thu Jun  1 11:48:29 2023, PASS_RES,99977.785,4.735,0
Thu Jun  1 11:48:42 2023, PASS_RES,99976.97,6.183,0
